id,date,time,sessionDuration,sourceSpoofed,sourceAddrressCategory,sourceAddress,sourcePort,destinationAddressCategory,destinationAddress,destinationPort,service,impact
17,03/07/2000,10:33:32,00:00:00,unknown,ipv4-addr,202.77.162.213,674,ipv4-addr,172.16.114.10,32779,udp,unknown
18,03/07/2000,10:33:32,00:00:00,unknown,ipv4-addr,202.77.162.213,674,ipv4-addr,172.16.114.10,111,udp,unknown
19,03/07/2000,10:33:32,00:00:00,unknown,ipv4-addr,202.77.162.213,675,ipv4-addr,172.16.114.10,32779,udp,unknown
20,03/07/2000,10:33:32,00:00:05,unknown,ipv4-addr,202.77.162.213,1496,ipv4-addr,172.16.114.10,23,tcp,unknown
21,03/07/2000,10:33:36,00:00:00,unknown,ipv4-addr,202.77.162.213,675,ipv4-addr,172.16.114.10,111,udp,unknown
22,03/07/2000,10:33:37,00:00:00,unknown,ipv4-addr,202.77.162.213,676,ipv4-addr,172.16.114.10,32779,udp,unknown
23,03/07/2000,10:33:37,00:00:00,unknown,ipv4-addr,202.77.162.213,676,ipv4-addr,172.16.114.10,111,udp,unknown
24,03/07/2000,10:33:37,00:00:00,unknown,ipv4-addr,202.77.162.213,677,ipv4-addr,172.16.114.10,32779,udp,unknown
25,03/07/2000,10:33:37,00:00:04,unknown,ipv4-addr,202.77.162.213,1497,ipv4-addr,172.16.114.10,23,tcp,unknown
26,03/07/2000,10:33:41,00:00:00,unknown,ipv4-addr,202.77.162.213,677,ipv4-addr,172.16.114.10,111,udp,unknown
27,03/07/2000,10:33:41,00:00:00,unknown,ipv4-addr,202.77.162.213,678,ipv4-addr,172.16.114.10,32779,udp,unknown
28,03/07/2000,10:33:41,00:00:00,unknown,ipv4-addr,202.77.162.213,678,ipv4-addr,172.16.114.10,111,udp,unknown
29,03/07/2000,10:33:41,00:00:00,unknown,ipv4-addr,202.77.162.213,679,ipv4-addr,172.16.114.10,32779,udp,unknown
30,03/07/2000,10:33:41,00:00:08,unknown,ipv4-addr,202.77.162.213,1498,ipv4-addr,172.16.114.10,23,tcp,unknown
31,03/07/2000,10:33:45,00:00:00,unknown,ipv4-addr,202.77.162.213,679,ipv4-addr,172.16.114.20,111,udp,unknown
32,03/07/2000,10:33:45,00:00:00,unknown,ipv4-addr,202.77.162.213,680,ipv4-addr,172.16.114.20,32773,udp,unknown
33,03/07/2000,10:33:47,00:00:00,unknown,ipv4-addr,202.77.162.213,680,ipv4-addr,172.16.114.20,111,udp,unknown
34,03/07/2000,10:33:47,00:00:00,unknown,ipv4-addr,202.77.162.213,681,ipv4-addr,172.16.114.20,32773,udp,unknown
35,03/07/2000,10:33:49,00:00:09,unknown,ipv4-addr,202.77.162.213,1503,ipv4-addr,172.16.114.20,23,tcp,unknown
36,03/07/2000,10:33:54,00:00:00,unknown,ipv4-addr,202.77.162.213,681,ipv4-addr,172.16.114.20,111,udp,unknown
37,03/07/2000,10:33:54,00:00:00,unknown,ipv4-addr,202.77.162.213,682,ipv4-addr,172.16.114.20,32773,udp,unknown
38,03/07/2000,10:33:56,00:00:00,unknown,ipv4-addr,202.77.162.213,682,ipv4-addr,172.16.114.20,111,udp,unknown
39,03/07/2000,10:33:56,00:00:00,unknown,ipv4-addr,202.77.162.213,683,ipv4-addr,172.16.114.20,32773,udp,unknown
40,03/07/2000,10:33:58,00:00:08,unknown,ipv4-addr,202.77.162.213,1504,ipv4-addr,172.16.114.20,23,tcp,unknown
41,03/07/2000,10:34:02,00:00:00,unknown,ipv4-addr,202.77.162.213,683,ipv4-addr,172.16.114.20,111,udp,unknown
42,03/07/2000,10:34:02,00:00:00,unknown,ipv4-addr,202.77.162.213,684,ipv4-addr,172.16.114.20,32773,udp,unknown
43,03/07/2000,10:34:04,00:00:00,unknown,ipv4-addr,202.77.162.213,684,ipv4-addr,172.16.114.20,111,udp,unknown
44,03/07/2000,10:34:04,00:00:00,unknown,ipv4-addr,202.77.162.213,685,ipv4-addr,172.16.114.20,32773,udp,unknown
45,03/07/2000,10:34:06,00:00:08,unknown,ipv4-addr,202.77.162.213,1505,ipv4-addr,172.16.114.20,23,tcp,unknown
46,03/07/2000,10:34:10,00:00:00,unknown,ipv4-addr,202.77.162.213,685,ipv4-addr,172.16.114.30,111,udp,unknown
47,03/07/2000,10:34:10,00:00:00,unknown,ipv4-addr,202.77.162.213,686,ipv4-addr,172.16.114.30,32772,udp,unknown
48,03/07/2000,10:34:12,00:00:00,unknown,ipv4-addr,202.77.162.213,686,ipv4-addr,172.16.114.30,111,udp,unknown
49,03/07/2000,10:34:12,00:00:00,unknown,ipv4-addr,202.77.162.213,687,ipv4-addr,172.16.114.30,32772,udp,unknown
50,03/07/2000,10:34:14,00:00:09,unknown,ipv4-addr,202.77.162.213,1506,ipv4-addr,172.16.114.30,23,tcp,unknown
51,03/07/2000,10:34:19,00:00:00,unknown,ipv4-addr,202.77.162.213,687,ipv4-addr,172.16.114.30,111,udp,unknown
52,03/07/2000,10:34:19,00:00:00,unknown,ipv4-addr,202.77.162.213,688,ipv4-addr,172.16.114.30,32772,udp,unknown
53,03/07/2000,10:34:21,00:00:00,unknown,ipv4-addr,202.77.162.213,688,ipv4-addr,172.16.114.30,111,udp,unknown
54,03/07/2000,10:34:21,00:00:00,unknown,ipv4-addr,202.77.162.213,689,ipv4-addr,172.16.114.30,32772,udp,unknown
55,03/07/2000,10:34:23,00:00:09,unknown,ipv4-addr,202.77.162.213,1507,ipv4-addr,172.16.114.30,23,tcp,unknown
56,03/07/2000,10:34:28,00:00:00,unknown,ipv4-addr,202.77.162.213,689,ipv4-addr,172.16.114.30,111,udp,unknown
57,03/07/2000,10:34:28,00:00:00,unknown,ipv4-addr,202.77.162.213,690,ipv4-addr,172.16.114.30,32772,udp,unknown
58,03/07/2000,10:34:30,00:00:00,unknown,ipv4-addr,202.77.162.213,690,ipv4-addr,172.16.114.30,111,udp,unknown
59,03/07/2000,10:34:30,00:00:00,unknown,ipv4-addr,202.77.162.213,691,ipv4-addr,172.16.114.30,32772,udp,unknown
60,03/07/2000,10:34:32,00:00:08,unknown,ipv4-addr,202.77.162.213,1531,ipv4-addr,172.16.114.30,23,tcp,unknown
61,03/07/2000,10:34:36,00:00:00,unknown,ipv4-addr,202.77.162.213,691,ipv4-addr,172.16.112.10,111,udp,unknown
62,03/07/2000,10:34:36,00:00:00,unknown,ipv4-addr,202.77.162.213,692,ipv4-addr,172.16.112.10,60518,udp,unknown
63,03/07/2000,10:34:38,00:00:00,unknown,ipv4-addr,202.77.162.213,692,ipv4-addr,172.16.112.10,111,udp,unknown
64,03/07/2000,10:34:38,00:00:00,unknown,ipv4-addr,202.77.162.213,693,ipv4-addr,172.16.112.10,60523,udp,unknown
65,03/07/2000,10:34:40,00:00:08,unknown,ipv4-addr,202.77.162.213,1532,ipv4-addr,172.16.112.10,23,tcp,unknown
66,03/07/2000,10:34:44,00:00:00,unknown,ipv4-addr,202.77.162.213,693,ipv4-addr,172.16.112.10,111,udp,unknown
67,03/07/2000,10:34:44,00:00:00,unknown,ipv4-addr,202.77.162.213,694,ipv4-addr,172.16.112.10,60541,udp,unknown
68,03/07/2000,10:34:46,00:00:00,unknown,ipv4-addr,202.77.162.213,694,ipv4-addr,172.16.112.10,111,udp,unknown
69,03/07/2000,10:34:46,00:00:00,unknown,ipv4-addr,202.77.162.213,695,ipv4-addr,172.16.112.10,60548,udp,unknown
70,03/07/2000,10:34:48,00:00:05,unknown,ipv4-addr,202.77.162.213,1533,ipv4-addr,172.16.112.10,23,tcp,unknown
71,03/07/2000,10:34:48,00:00:00,unknown,ipv4-addr,202.77.162.213,695,ipv4-addr,172.16.112.50,111,udp,unknown
72,03/07/2000,10:34:48,00:00:00,unknown,ipv4-addr,202.77.162.213,696,ipv4-addr,172.16.112.50,60568,udp,unknown
73,03/07/2000,10:34:51,00:00:00,unknown,ipv4-addr,202.77.162.213,696,ipv4-addr,172.16.112.50,111,udp,unknown
74,03/07/2000,10:34:51,00:00:00,unknown,ipv4-addr,202.77.162.213,697,ipv4-addr,172.16.112.50,60577,udp,unknown
75,03/07/2000,10:34:53,00:00:08,unknown,ipv4-addr,202.77.162.213,1534,ipv4-addr,172.16.112.50,23,tcp,unknown
76,03/07/2000,10:34:57,00:00:00,unknown,ipv4-addr,202.77.162.213,697,ipv4-addr,172.16.112.50,111,udp,unknown
77,03/07/2000,10:34:57,00:00:00,unknown,ipv4-addr,202.77.162.213,698,ipv4-addr,172.16.112.50,60604,udp,unknown
78,03/07/2000,10:34:59,00:00:00,unknown,ipv4-addr,202.77.162.213,698,ipv4-addr,172.16.112.50,111,udp,unknown
79,03/07/2000,10:34:59,00:00:00,unknown,ipv4-addr,202.77.162.213,699,ipv4-addr,172.16.112.50,60618,udp,unknown
80,03/07/2000,10:35:01,00:00:00,unknown,ipv4-addr,202.77.162.213,1535,ipv4-addr,172.16.112.50,23,tcp,unknown
