version,alertid,impact,Alert version,date,time,sessionduration,ident,name,spoofed,category,address,Address category,Address address,Service name
0.1,18,unknown,1,03/07/2000,09:51:54,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.113.204,icmp-echo-request
0.1,19,unknown,1,03/07/2000,09:51:54,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.113.207,icmp-echo-request
0.1,20,unknown,1,03/07/2000,09:51:55,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.10,icmp-echo-request
0.1,21,unknown,1,03/07/2000,09:51:55,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.10,ipv4-addr,202.77.162.213,icmp-echo-reply
0.1,22,unknown,1,03/07/2000,09:51:56,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.20,icmp-echo-request
0.1,23,unknown,1,03/07/2000,09:51:56,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.50,icmp-echo-request
0.1,24,unknown,1,03/07/2000,09:51:56,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.50,ipv4-addr,202.77.162.213,icmp-echo-reply
0.1,25,unknown,1,03/07/2000,09:51:58,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.100,icmp-echo-request
0.1,26,unknown,1,03/07/2000,09:51:58,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.100,ipv4-addr,202.77.162.213,icmp-echo-reply
0.1,27,unknown,1,03/07/2000,09:51:58,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.105,icmp-echo-request
0.1,28,unknown,1,03/07/2000,09:51:58,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.105,ipv4-addr,202.77.162.213,icmp-echo-reply
0.1,29,unknown,1,03/07/2000,09:51:59,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.149,icmp-echo-request
0.1,30,unknown,1,03/07/2000,09:52:00,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.194,icmp-echo-request
0.1,31,unknown,1,03/07/2000,09:52:00,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.207,icmp-echo-request
